iter	Passed	Remaining
749	1471	490
750	1472	488
751	1473	485
752	1473	483
753	1475	481
754	1476	479
755	1477	476
756	1478	474
757	1479	472
758	1479	469
759	1480	467
760	1481	465
761	1482	462
762	1482	460
763	1483	458
764	1484	456
765	1485	453
766	1486	451
767	1486	449
768	1487	446
769	1488	444
770	1489	442
771	1491	440
772	1491	438
773	1492	435
774	1493	433
775	1494	431
776	1494	429
777	1495	426
778	1496	424
779	1497	422
780	1498	420
781	1498	417
782	1499	415
783	1500	413
784	1501	411
785	1501	408
786	1502	406
787	1503	404
788	1504	402
789	1505	400
790	1506	398
791	1507	396
792	1508	393
793	1509	391
794	1510	389
795	1511	387
796	1512	385
797	1512	382
798	1513	380
799	1514	378
800	1515	376
801	1516	374
802	1516	372
803	1517	369
804	1518	367
805	1520	365
806	1521	363
807	1522	361
808	1522	359
809	1523	357
810	1524	355
811	1524	353
812	1525	350
813	1526	348
814	1527	346
815	1528	344
816	1528	342
817	1529	340
818	1530	338
819	1531	336
820	1531	333
821	1532	331
822	1533	329
823	1535	327
824	1536	325
825	1537	323
826	1537	321
827	1538	319
828	1539	317
829	1540	315
830	1541	313
831	1542	311
832	1542	309
833	1543	307
834	1544	305
835	1545	303
836	1545	301
837	1546	298
838	1547	296
839	1548	294
840	1550	293
841	1551	291
842	1551	289
843	1552	286
844	1553	284
845	1554	282
846	1554	280
847	1555	278
848	1556	276
849	1557	274
850	1557	272
851	1558	270
852	1559	268
853	1560	266
854	1560	264
855	1561	262
856	1562	260
857	1563	258
858	1565	257
859	1566	255
860	1567	253
861	1567	251
862	1568	249
863	1569	247
864	1570	245
865	1571	243
866	1571	241
867	1572	239
868	1573	237
869	1573	235
870	1574	233
871	1575	231
872	1576	229
873	1576	227
874	1577	225
875	1578	223
876	1580	221
877	1580	219
878	1581	217
879	1582	215
880	1584	213
881	1585	212
882	1586	210
883	1587	208
884	1588	206
885	1589	204
886	1589	202
887	1590	200
888	1591	198
889	1592	196
890	1592	194
891	1595	193
892	1595	191
893	1596	189
894	1597	187
895	1598	185
896	1598	183
897	1599	181
898	1600	179
899	1601	177
900	1601	175
901	1602	174
902	1603	172
903	1604	170
904	1604	168
905	1605	166
906	1606	164
907	1607	162
908	1607	160
909	1610	159
910	1611	157
911	1612	155
912	1613	153
913	1614	151
914	1614	150
915	1615	148
916	1616	146
917	1617	144
918	1617	142
919	1618	140
920	1619	138
921	1619	137
922	1620	135
923	1621	133
924	1622	131
925	1624	129
926	1625	127
927	1625	126
928	1626	124
929	1627	122
930	1628	120
931	1628	118
932	1629	117
933	1630	115
934	1631	113
935	1631	111
936	1632	109
937	1633	107
938	1634	106
939	1634	104
940	1635	102
941	1636	100
942	1637	98
943	1640	97
944	1641	95
945	1642	93
946	1643	91
947	1644	90
948	1645	88
949	1646	86
950	1647	84
951	1648	83
952	1649	81
953	1650	79
954	1651	77
955	1652	76
956	1654	74
957	1655	72
958	1656	70
959	1657	69
960	1658	67
961	1659	65
962	1660	63
963	1661	62
964	1662	60
965	1663	58
966	1664	56
967	1665	55
968	1667	53
969	1669	51
970	1670	49
971	1671	48
972	1672	46
973	1673	44
974	1674	42
975	1675	41
976	1676	39
977	1677	37
978	1678	36
979	1679	34
980	1680	32
981	1681	30
982	1684	29
983	1685	27
984	1686	25
985	1687	23
986	1688	22
987	1689	20
988	1690	18
989	1691	17
990	1692	15
991	1693	13
992	1694	11
993	1695	10
994	1696	8
995	1699	6
996	1701	5
997	1702	3
998	1703	1
999	1704	0
